manufacturer,model,year,price,odometer,condition,transmission,cylinders,fuel,title_status,drive,size,type,paint_color,state
ford,mustang,2012,7900,77000,good,manual,6 cylinders,gas,rebuilt,rwd,full-size,coupe,black,md
ford,transit,2018,26900,28500,good,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,fl
chevrolet,traverse_ltz,2012,7500,133000,good,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,silver,vt
audi,a4,2017,23500,42000,excellent,automatic,4 cylinders,gas,clean,4wd,mid-size,sedan,red,vt
bmw,328xi,2007,6499,169400,excellent,manual,6 cylinders,gas,clean,4wd,mid-size,coupe,grey,vt
bmw,328xi,2007,6499,144500,excellent,manual,6 cylinders,gas,clean,4wd,mid-size,sedan,black,vt
ford,taurus_sel,2002,2999,82000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,grey,va
cadillac,cts,2008,13500,133000,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,SUV,red,va
bmw,328xi,2007,7999,112900,excellent,manual,6 cylinders,gas,clean,4wd,mid-size,sedan,black,vt
bmw,325i,2006,8999,137500,excellent,manual,6 cylinders,gas,clean,4wd,mid-size,wagon,white,vt
bmw,325i,2006,6999,132000,excellent,manual,6 cylinders,gas,clean,4wd,mid-size,sedan,black,vt
bmw,325i,2001,5999,127500,excellent,manual,6 cylinders,gas,clean,rwd,mid-size,sedan,white,vt
ford,mustang,2010,9995,97870,good,automatic,6 cylinders,gas,clean,rwd,sub-compact,coupe,black,or
ford,focus,2016,7500,111904,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,silver,wi
bmw,325i,2003,5495,119032,good,manual,6 cylinders,gas,clean,rwd,full-size,sedan,black,or
ford,focus,2013,5850,85000,good,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,silver,fl
cadillac,srx,2011,9900,85000,like new,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,brown,fl
chevrolet,camaro,2013,12900,31127,good,automatic,8 cylinders,gas,clean,rwd,compact,coupe,grey,fl
audi,a3,2012,9995,71460,good,automatic,4 cylinders,gas,clean,fwd,compact,wagon,silver,or
ford,mustang,2009,9300,116000,good,automatic,6 cylinders,gas,clean,rwd,sub-compact,coupe,grey,az
ford,taurus_sel,2006,6800,167553,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,green,wi
ford,focus,2016,8400,7400,excellent,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,silver,az
chevrolet,camaro,2011,10800,137170,excellent,manual,6 cylinders,gas,clean,rwd,compact,coupe,black,ca
bmw,325i,2004,3995,115920,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,silver,ca
bmw,3-series,2001,4795,128167,excellent,manual,6 cylinders,gas,clean,rwd,compact,sedan,blue,or
bmw,328xi,2011,6995,99400,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,sedan,grey,ca
bmw,335i,2013,13999,72000,good,automatic,6 cylinders,gas,salvage,4wd,full-size,sedan,white,nc
chevrolet,traverse_ltz,2018,22000,16600,like new,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,grey,tn
bmw,x3,2011,12000,114567,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,silver,tn
audi,a4,2013,12495,83550,excellent,automatic,4 cylinders,gas,clean,4wd,compact,sedan,black,or
ford,edge,2018,16327,61089,good,automatic,4 cylinders,gas,clean,fwd,full-size,SUV,silver,tn
ford,mustang,1968,14990,83886,good,automatic,8 cylinders,gas,clean,rwd,mid-size,coupe,white,md
ford,edge,2018,16327,61089,good,automatic,4 cylinders,gas,clean,fwd,full-size,SUV,silver,nc
bmw,325i,2006,4950,126000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,convertible,silver,tn
ford,focus,2013,6500,108594,excellent,automatic,4 cylinders,gas,clean,fwd,mid-size,hatchback,red,nc
chevrolet,impala,2010,5490,112114,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,tn
ford,taurus_sel,2017,19500,25060,like new,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,md
bmw,x3,2006,4600,169000,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,blue,md
bmw,328xi,2013,12500,88515,excellent,manual,4 cylinders,gas,clean,rwd,mid-size,sedan,grey,md
bmw,x3,2013,14150,73794,good,automatic,4 cylinders,gas,clean,4wd,full-size,SUV,silver,ny
bmw,328xi,2009,4800,143000,good,automatic,6 cylinders,gas,clean,4wd,compact,coupe,grey,md
bmw,3-series,2012,14995,48255,excellent,automatic,6 cylinders,gas,clean,rwd,sub-compact,coupe,grey,or
ford,focus,2016,7995,88444,excellent,manual,3 cylinders,gas,clean,fwd,compact,sedan,grey,or
ford,transit,2019,29995,27063,good,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,ny
ford,transit,2019,31000,15985,good,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,ny
chevrolet,trailblazer_lt,2004,4500,90000,excellent,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,brown,va
audi,a3,2015,18000,57760,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,black,tn
cadillac,cts,2013,19800,55890,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,SUV,red,fl
